outcome,mean,sd,n,time.point,variable
Meaningful emp region,5.938098783817324,1.6716905127842399,4029,after.ed.1,avg.unemp.rate
Meaningful emp MN,5.9695896073221135,1.8036754128565133,1129,after.ed.1,avg.unemp.rate
Not meaningful_in_only,5.906867636867637,1.7212041046786815,4810,after.ed.1,avg.unemp.rate
Not meaningful - other,5.83959301039593,1.6596419845896748,3014,after.ed.1,avg.unemp.rate
No MN emp record,5.724698921353021,1.648971254470256,6366,after.ed.1,avg.unemp.rate
Meaningful emp region,0.832299604016231,0.09498321508540203,4029,after.ed.1,avg.wages.pct.state
Meaningful emp MN,0.8318679716856293,0.09928398617995605,1129,after.ed.1,avg.wages.pct.state
Not meaningful_in_only,0.8265203397878702,0.09280993076468749,4810,after.ed.1,avg.wages.pct.state
Not meaningful - other,0.8303701507630048,0.09513246604121496,3014,after.ed.1,avg.wages.pct.state
No MN emp record,0.8253108406344568,0.09051514059996539,6366,after.ed.1,avg.wages.pct.state
Meaningful emp region,5.465127823281214,3.8642670322991126,4029,after.ed.1,total.cte.courses.taken
Meaningful emp MN,4.768821966341896,3.550130171074547,1129,after.ed.1,total.cte.courses.taken
Not meaningful_in_only,4.689189189189188,3.552720244393245,4810,after.ed.1,total.cte.courses.taken
Not meaningful - other,4.596217650962178,3.448429845212425,3014,after.ed.1,total.cte.courses.taken
No MN emp record,4.214263273641217,3.427025003736882,6366,after.ed.1,total.cte.courses.taken
Meaningful emp region,2.4856197505726643,1.0479149013664846,3929,after.ed.1,MCA.M
Meaningful emp MN,2.6019855595667867,1.053867841369228,1108,after.ed.1,MCA.M
Not meaningful_in_only,2.515842013888889,1.0917178921010857,4608,after.ed.1,MCA.M
Not meaningful - other,2.5145897699965665,1.0833451220296813,2913,after.ed.1,MCA.M
No MN emp record,2.4816029143898,1.1012374740238728,5490,after.ed.1,MCA.M
Meaningful emp region,5.994878646181251,1.6859120462997024,4491,after.ed.2,avg.unemp.rate
Meaningful emp MN,5.961074156196107,1.777235911292678,1353,after.ed.2,avg.unemp.rate
Not meaningful_in_only,5.888903214715489,1.6948276217993743,3878,after.ed.2,avg.unemp.rate
Not meaningful - other,5.861606812291743,1.6835942547801874,2701,after.ed.2,avg.unemp.rate
No MN emp record,5.698565583634175,1.6497333110182915,6925,after.ed.2,avg.unemp.rate
Meaningful emp region,0.8320075980461094,0.0949326010231422,4491,after.ed.2,avg.wages.pct.state
Meaningful emp MN,0.8317934411643773,0.10157884876852104,1353,after.ed.2,avg.wages.pct.state
Not meaningful_in_only,0.8279589613880104,0.092549041719294,3878,after.ed.2,avg.wages.pct.state
Not meaningful - other,0.8275136733755973,0.09518525258504149,2701,after.ed.2,avg.wages.pct.state
No MN emp record,0.8255363743107729,0.09012783856352168,6925,after.ed.2,avg.wages.pct.state
Meaningful emp region,5.3743041638833216,3.8398274686473295,4491,after.ed.2,total.cte.courses.taken
Meaningful emp MN,4.819660014781966,3.5181268806326265,1353,after.ed.2,total.cte.courses.taken
Not meaningful_in_only,4.762248581743168,3.6154739086749252,3878,after.ed.2,total.cte.courses.taken
Not meaningful - other,4.484635320251761,3.4055843228324765,2701,after.ed.2,total.cte.courses.taken
No MN emp record,4.245631768953069,3.4199853623705296,6925,after.ed.2,total.cte.courses.taken
Meaningful emp region,2.4767335766423355,1.058803454770181,4384,after.ed.2,MCA.M
Meaningful emp MN,2.5845808383233537,1.0466434186936475,1336,after.ed.2,MCA.M
Not meaningful_in_only,2.4738411493629706,1.0847650453485262,3689,after.ed.2,MCA.M
