outcome,predictor,n,pct,time.point,variable,chi.sq,df,p.value,cramers.v
Meaningful emp region,AI,317,0.07867957309506081,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
Meaningful emp region,Asian/PI,23,0.0057086125589476296,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
Meaningful emp region,Black,54,0.01340282948622487,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
Meaningful emp region,Hispanic,113,0.028046661702655747,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
Meaningful emp region,White,3522,0.874162323157111,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
Meaningful emp MN,AI,78,0.06908768821966342,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
Meaningful emp MN,Asian/PI,13,0.011514614703277236,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
Meaningful emp MN,Black,24,0.021257750221434897,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
Meaningful emp MN,Hispanic,35,0.03100088573959256,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
Meaningful emp MN,White,979,0.8671390611160319,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
Not meaningful_in_only,AI,445,0.09251559251559252,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
Not meaningful_in_only,Asian/PI,41,0.008523908523908524,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
Not meaningful_in_only,Black,89,0.018503118503118504,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
Not meaningful_in_only,Hispanic,149,0.03097713097713098,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
Not meaningful_in_only,White,4086,0.8494802494802495,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
Not meaningful - other,AI,249,0.08261446582614466,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
Not meaningful - other,Asian/PI,26,0.008626410086264101,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
Not meaningful - other,Black,94,0.031187790311877902,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
Not meaningful - other,Hispanic,106,0.035169210351692105,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
Not meaningful - other,White,2539,0.8424021234240212,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
No MN emp record,AI,497,0.07807100219918316,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
No MN emp record,Asian/PI,126,0.019792648444863337,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
No MN emp record,Black,120,0.01885014137606032,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
No MN emp record,Hispanic,351,0.05513666352497644,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
No MN emp record,White,5272,0.8281495444549167,after.ed.1,RaceEthnicity,166.1897043702481,16,4.8379466157115904e-27,0.046339785867173876
Meaningful emp region,0,2070,0.5137751303052867,after.ed.1,economic.status,72.21146841008668,4,7.743189697427945e-15,0.061092099278693884
Meaningful emp region,1,1959,0.48622486969471335,after.ed.1,economic.status,72.21146841008668,4,7.743189697427945e-15,0.061092099278693884
Meaningful emp MN,0,564,0.4995571302037201,after.ed.1,economic.status,72.21146841008668,4,7.743189697427945e-15,0.061092099278693884
Meaningful emp MN,1,565,0.5004428697962799,after.ed.1,economic.status,72.21146841008668,4,7.743189697427945e-15,0.061092099278693884
Not meaningful_in_only,0,2411,0.5012474012474012,after.ed.1,economic.status,72.21146841008668,4,7.743189697427945e-15,0.061092099278693884
